city,feature_group,window_months,n_features,mean_abs_pearson_corr,median_abs_pearson_corr,max_abs_pearson_corr,top_feature,top_feature_pearson_corr,top_feature_abs_pearson_corr
iq,ndvi,1,4,0.0462348013782015,0.04178692727485232,0.08963435191507008,ndvi_se,-0.08963435191507008,0.08963435191507008
iq,ndvi,2,4,0.04485432493177097,0.04058426743342271,0.0662227649045417,ndvi_se,-0.0662227649045417,0.0662227649045417
iq,ndvi,3,4,0.08603827434975453,0.11381988079324165,0.11624839762878199,ndvi_ne,0.11624839762878199,0.11624839762878199
iq,ndvi,4,4,0.1414291097867629,0.1756765389045486,0.1840548088069383,ndvi_nw,0.1840548088069383,0.1840548088069383
iq,ndvi,5,4,0.18224255913760662,0.21872669229898867,0.2585360486619343,ndvi_nw,0.2585360486619343,0.2585360486619343
iq,ndvi,6,4,0.1904371830059489,0.22052554570419552,0.30587257403663637,ndvi_nw,0.30587257403663637,0.30587257403663637
iq,ndvi,7,4,0.1965366926941436,0.22142951038186753,0.3229367173090804,ndvi_nw,0.3229367173090804,0.3229367173090804
iq,ndvi,8,4,0.17488454268009598,0.1672638212060438,0.27193290640116136,ndvi_nw,0.27193290640116136,0.27193290640116136
iq,ndvi,9,4,0.16082486987657285,0.17903040886370974,0.23203384359408302,ndvi_nw,0.23203384359408302,0.23203384359408302
iq,ndvi,10,4,0.1540920444170481,0.18203106215214276,0.24406500434921666,ndvi_se,-0.24406500434921666,0.24406500434921666
iq,ndvi,11,4,0.16480062975180132,0.15350275260310406,0.30049999582058745,ndvi_se,-0.30049999582058745,0.30049999582058745
iq,ndvi,12,4,0.17631977149708125,0.14926403341812122,0.3313211713222531,ndvi_se,-0.3313211713222531,0.3313211713222531
iq,ndvi,13,4,0.18833833766634983,0.2047954455520168,0.311253701414208,ndvi_se,-0.311253701414208,0.311253701414208
iq,ndvi,14,4,0.21445494567474538,0.2711063001329619,0.292286274914458,ndvi_nw,0.292286274914458,0.292286274914458
iq,precipitation,1,1,0.18743593479444773,0.18743593479444773,0.18743593479444773,precipitation_amt_mm,0.18743593479444773,0.18743593479444773
iq,precipitation,2,1,0.21708351219151492,0.21708351219151492,0.21708351219151492,precipitation_amt_mm,0.21708351219151492,0.21708351219151492
iq,precipitation,3,1,0.1372015614947925,0.1372015614947925,0.1372015614947925,precipitation_amt_mm,0.1372015614947925,0.1372015614947925
iq,precipitation,4,1,0.07542048089629758,0.07542048089629758,0.07542048089629758,precipitation_amt_mm,0.07542048089629758,0.07542048089629758
iq,precipitation,5,1,0.007966343847646395,0.007966343847646395,0.007966343847646395,precipitation_amt_mm,-0.007966343847646395,0.007966343847646395
iq,precipitation,6,1,0.09023809741803053,0.09023809741803053,0.09023809741803053,precipitation_amt_mm,-0.09023809741803053,0.09023809741803053
iq,precipitation,7,1,0.128274687201231,0.128274687201231,0.128274687201231,precipitation_amt_mm,-0.128274687201231,0.128274687201231
iq,precipitation,8,1,0.11733622449412957,0.11733622449412957,0.11733622449412957,precipitation_amt_mm,-0.11733622449412957,0.11733622449412957
iq,precipitation,9,1,0.08763731924259982,0.08763731924259982,0.08763731924259982,precipitation_amt_mm,-0.08763731924259982,0.08763731924259982
iq,precipitation,10,1,0.003944805037490128,0.003944805037490128,0.003944805037490128,precipitation_amt_mm,0.003944805037490128,0.003944805037490128
iq,precipitation,11,1,0.10420747763793844,0.10420747763793844,0.10420747763793844,precipitation_amt_mm,0.10420747763793844,0.10420747763793844
iq,precipitation,12,1,0.17571478298751061,0.17571478298751061,0.17571478298751061,precipitation_amt_mm,0.17571478298751061,0.17571478298751061
iq,precipitation,13,1,0.2475488877272012,0.2475488877272012,0.2475488877272012,precipitation_amt_mm,0.2475488877272012,0.2475488877272012
iq,precipitation,14,1,0.276055708994862,0.276055708994862,0.276055708994862,precipitation_amt_mm,0.276055708994862,0.276055708994862
iq,reanalysis,1,10,0.20343751980082425,0.18782454575317742,0.32576031783270437,reanalysis_specific_humidity_g_per_kg,0.32576031783270437,0.32576031783270437
iq,reanalysis,2,10,0.20486990750407444,0.17592004411433615,0.32920949924912224,reanalysis_min_air_temp_k,0.32920949924912224,0.32920949924912224
iq,reanalysis,3,10,0.18523456179205183,0.16981417166252355,0.30631090410630907,reanalysis_min_air_temp_k,0.30631090410630907,0.30631090410630907
iq,reanalysis,4,10,0.16024420863633676,0.16042480434324566,0.26133217989903923,reanalysis_specific_humidity_g_per_kg,0.26133217989903923,0.26133217989903923
iq,reanalysis,5,10,0.11958747341340428,0.15029985825582828,0.19699418005166133,reanalysis_avg_temp_k,0.19699418005166133,0.19699418005166133
iq,reanalysis,6,10,0.10062191612837268,0.11718425614607544,0.161608168209798,reanalysis_avg_temp_k,0.161608168209798,0.161608168209798
iq,reanalysis,7,10,0.0793055528959885,0.09340172270861413,0.128274687201231,reanalysis_sat_precip_amt_mm,-0.128274687201231,0.128274687201231
iq,reanalysis,8,10,0.059159495165699814,0.04785920405262743,0.11733622449412957,reanalysis_sat_precip_amt_mm,-0.11733622449412957,0.11733622449412957
iq,reanalysis,9,10,0.07824798571399434,0.0842043938807632,0.13246567667780884,reanalysis_dew_point_temp_k,0.13246567667780884,0.13246567667780884
iq,reanalysis,10,10,0.12164657679535691,0.1257865723533126,0.19536067488431982,reanalysis_relative_humidity_percent,0.19536067488431982,0.19536067488431982
iq,reanalysis,11,10,0.17556230548672846,0.19407239598013853,0.24783552791715657,reanalysis_max_air_temp_k,-0.24783552791715657,0.24783552791715657
iq,reanalysis,12,10,0.20911090016700778,0.25280751572789745,0.27829668556373105,reanalysis_dew_point_temp_k,0.27829668556373105,0.27829668556373105
iq,reanalysis,13,10,0.231109279746848,0.26956356469970955,0.31628674133825446,reanalysis_dew_point_temp_k,0.31628674133825446,0.31628674133825446
iq,reanalysis,14,10,0.23254266686098699,0.27196911498059156,0.33027350356528046,reanalysis_dew_point_temp_k,0.33027350356528046,0.33027350356528046
iq,station,1,5,0.17217714925628438,0.14773538741540315,0.3289818675986162,station_min_temp_c,0.3289818675986162,0.3289818675986162
iq,station,2,5,0.18769159436715974,0.18766535697885925,0.30919245484145697,station_min_temp_c,0.30919245484145697,0.30919245484145697
iq,station,3,5,0.17077174298145043,0.17911922914524137,0.2612909403605358,station_avg_temp_c,0.2612909403605358,0.2612909403605358
iq,station,4,5,0.1449013427067666,0.15496136777238226,0.24024464752933591,station_avg_temp_c,0.24024464752933591,0.24024464752933591
iq,station,5,5,0.0908343694154392,0.09905407631389233,0.16969364058153438,station_avg_temp_c,0.16969364058153438,0.16969364058153438
iq,station,6,5,0.04523194163786652,0.03833126204964624,0.08680126535391852,station_avg_temp_c,0.08680126535391852,0.08680126535391852
iq,station,7,5,0.025854818611417262,0.024853874489507505,0.06549690638912964,station_diur_temp_rng_c,-0.06549690638912964,0.06549690638912964
iq,station,8,5,0.07239057539694951,0.06478420980493754,0.13200642064801843,station_diur_temp_rng_c,-0.13200642064801843,0.13200642064801843
iq,station,9,5,0.09674050120423419,0.08877119725245716,0.18679278994397763,station_diur_temp_rng_c,-0.18679278994397763,0.18679278994397763
iq,station,10,5,0.12296667076034437,0.0805731984149166,0.23338434121803056,station_diur_temp_rng_c,-0.23338434121803056,0.23338434121803056
iq,station,11,5,0.13847194692639836,0.1120550858504633,0.2693313967546526,station_diur_temp_rng_c,-0.2693313967546526,0.2693313967546526
iq,station,12,5,0.1537313380285181,0.14742219384006863,0.2794854033613973,station_diur_temp_rng_c,-0.2794854033613973,0.2794854033613973
iq,station,13,5,0.17523664209370843,0.1804998283717674,0.28044374829775676,station_diur_temp_rng_c,-0.28044374829775676,0.28044374829775676
iq,station,14,5,0.18590213474740805,0.2013780611671269,0.27476112073984005,station_diur_temp_rng_c,-0.27476112073984005,0.27476112073984005
sj,ndvi,1,4,0.08140029266164782,0.07556000838842798,0.11861754223001748,ndvi_ne,0.11861754223001748,0.11861754223001748
sj,ndvi,2,4,0.09431626646038667,0.0918975852564353,0.12092976364991316,ndvi_se,-0.12092976364991316,0.12092976364991316
sj,ndvi,3,4,0.09961820050939789,0.09458130181594245,0.1515341973705556,ndvi_se,-0.1515341973705556,0.1515341973705556
sj,ndvi,4,4,0.10211888326206507,0.10200165127449992,0.18813330795176067,ndvi_se,-0.18813330795176067,0.18813330795176067
sj,ndvi,5,4,0.11126388001306949,0.10155420836756693,0.22326992274341928,ndvi_se,-0.22326992274341928,0.22326992274341928
sj,ndvi,6,4,0.12204075038522308,0.10054748531543783,0.2422918509764047,ndvi_se,-0.2422918509764047,0.2422918509764047
sj,ndvi,7,4,0.12696627199007862,0.10223877351888838,0.2448179493236323,ndvi_se,-0.2448179493236323,0.2448179493236323
sj,ndvi,8,4,0.12527843134456296,0.10756421486828491,0.22990469317062384,ndvi_se,-0.22990469317062384,0.22990469317062384
sj,ndvi,9,4,0.12154625792602355,0.11639574384469836,0.2074007993483852,ndvi_se,-0.2074007993483852,0.2074007993483852
sj,ndvi,10,4,0.11842398755134828,0.11775621514534064,0.18978731327728687,ndvi_se,-0.18978731327728687,0.18978731327728687
sj,ndvi,11,4,0.11469604007195909,0.11286747745208989,0.1744818487150653,ndvi_se,-0.1744818487150653,0.1744818487150653
sj,ndvi,12,4,0.11306635378145606,0.11006986700365658,0.16519366228352092,ndvi_se,-0.16519366228352092,0.16519366228352092
sj,ndvi,13,4,0.11146024784473071,0.1094956744031581,0.1560433053568437,ndvi_se,-0.1560433053568437,0.1560433053568437
sj,ndvi,14,4,0.11096312703490449,0.11148048471830682,0.1496054791737024,ndvi_se,-0.1496054791737024,0.1496054791737024
sj,precipitation,1,1,0.13546349515856396,0.13546349515856396,0.13546349515856396,precipitation_amt_mm,0.13546349515856396,0.13546349515856396
sj,precipitation,2,1,0.16422967592302526,0.16422967592302526,0.16422967592302526,precipitation_amt_mm,0.16422967592302526,0.16422967592302526
sj,precipitation,3,1,0.17877297866916142,0.17877297866916142,0.17877297866916142,precipitation_amt_mm,0.17877297866916142,0.17877297866916142
sj,precipitation,4,1,0.1793904738054101,0.1793904738054101,0.1793904738054101,precipitation_amt_mm,0.1793904738054101,0.1793904738054101
sj,precipitation,5,1,0.1607744105278697,0.1607744105278697,0.1607744105278697,precipitation_amt_mm,0.1607744105278697,0.1607744105278697
sj,precipitation,6,1,0.11383139244534532,0.11383139244534532,0.11383139244534532,precipitation_amt_mm,0.11383139244534532,0.11383139244534532
sj,precipitation,7,1,0.04517852244343529,0.04517852244343529,0.04517852244343529,precipitation_amt_mm,0.04517852244343529,0.04517852244343529
sj,precipitation,8,1,0.0522758688386767,0.0522758688386767,0.0522758688386767,precipitation_amt_mm,-0.0522758688386767,0.0522758688386767
sj,precipitation,9,1,0.1500452794988896,0.1500452794988896,0.1500452794988896,precipitation_amt_mm,-0.1500452794988896,0.1500452794988896
sj,precipitation,10,1,0.22677062708252646,0.22677062708252646,0.22677062708252646,precipitation_amt_mm,-0.22677062708252646,0.22677062708252646
sj,precipitation,11,1,0.27481202778533453,0.27481202778533453,0.27481202778533453,precipitation_amt_mm,-0.27481202778533453,0.27481202778533453
sj,precipitation,12,1,0.28551111534113177,0.28551111534113177,0.28551111534113177,precipitation_amt_mm,-0.28551111534113177,0.28551111534113177
sj,precipitation,13,1,0.25514623190134555,0.25514623190134555,0.25514623190134555,precipitation_amt_mm,-0.25514623190134555,0.25514623190134555
sj,precipitation,14,1,0.21796319712202408,0.21796319712202408,0.21796319712202408,precipitation_amt_mm,-0.21796319712202408,0.21796319712202408
sj,reanalysis,1,10,0.18372530360101597,0.19301362318726134,0.21875524771009777,reanalysis_specific_humidity_g_per_kg,0.21875524771009777,0.21875524771009777
sj,reanalysis,2,10,0.233302368752555,0.24613436718606096,0.27690142911304194,reanalysis_specific_humidity_g_per_kg,0.27690142911304194,0.27690142911304194
sj,reanalysis,3,10,0.26438351985456776,0.28876139481259044,0.3192208228491487,reanalysis_dew_point_temp_k,0.3192208228491487,0.3192208228491487
sj,reanalysis,4,10,0.2774484921083764,0.30859570642878453,0.342035018449368,reanalysis_dew_point_temp_k,0.342035018449368,0.342035018449368
sj,reanalysis,5,10,0.27203187918135807,0.3060391320461714,0.345546893612529,reanalysis_dew_point_temp_k,0.345546893612529,0.345546893612529
sj,reanalysis,6,10,0.24525850047351566,0.2784306347320372,0.3261831433201957,reanalysis_dew_point_temp_k,0.3261831433201957,0.3261831433201957
sj,reanalysis,7,10,0.1961508858450764,0.22534700612424577,0.27658074172156066,reanalysis_dew_point_temp_k,0.27658074172156066,0.27658074172156066
sj,reanalysis,8,10,0.14268533540672723,0.16287386730626582,0.20729987441574438,reanalysis_dew_point_temp_k,0.20729987441574438,0.20729987441574438
sj,reanalysis,9,10,0.09862431155867765,0.105864090630082,0.1500452794988896,reanalysis_sat_precip_amt_mm,-0.1500452794988896,0.1500452794988896
sj,reanalysis,10,10,0.06514493616121228,0.04640998305671515,0.22677062708252646,reanalysis_sat_precip_amt_mm,-0.22677062708252646,0.22677062708252646
sj,reanalysis,11,10,0.06329252982352969,0.034159540867757465,0.27481202778533453,reanalysis_sat_precip_amt_mm,-0.27481202778533453,0.27481202778533453
sj,reanalysis,12,10,0.06627545302173919,0.027727042926875473,0.28551111534113177,reanalysis_sat_precip_amt_mm,-0.28551111534113177,0.28551111534113177
sj,reanalysis,13,10,0.08527195001574185,0.0751932318473454,0.25514623190134555,reanalysis_sat_precip_amt_mm,-0.25514623190134555,0.25514623190134555
sj,reanalysis,14,10,0.12402616972682674,0.13946603935588592,0.21796319712202408,reanalysis_sat_precip_amt_mm,-0.21796319712202408,0.21796319712202408
sj,station,1,5,0.1545876511888458,0.19918146873572445,0.21770320470535925,station_max_temp_c,0.21770320470535925,0.21770320470535925
sj,station,2,5,0.20314766034891102,0.28493997211345967,0.29022199095583184,station_min_temp_c,0.29022199095583184,0.29022199095583184
sj,station,3,5,0.23650203500331615,0.3496399081230047,0.3578280936997105,station_min_temp_c,0.3578280936997105,0.3578280936997105
sj,station,4,5,0.26114566113811866,0.3969561348957753,0.40556799905367985,station_min_temp_c,0.40556799905367985,0.40556799905367985
sj,station,5,5,0.2801451222539521,0.4282434969079331,0.4418752917490892,station_max_temp_c,0.4418752917490892,0.4418752917490892
sj,station,6,5,0.2879513408177129,0.4341826687342443,0.4653136167534104,station_max_temp_c,0.4653136167534104,0.4653136167534104
sj,station,7,5,0.2973225310196701,0.40602572843047496,0.45799807711673046,station_max_temp_c,0.45799807711673046,0.45799807711673046
sj,station,8,5,0.29667998386229977,0.3572263644015882,0.4279155029363358,station_max_temp_c,0.4279155029363358,0.4279155029363358
sj,station,9,5,0.28193298198384015,0.29656531818528103,0.3774725805286822,station_max_temp_c,0.3774725805286822,0.3774725805286822
sj,station,10,5,0.2557672044583188,0.23347694969013008,0.3181999515774984,station_max_temp_c,0.3181999515774984,0.3181999515774984
sj,station,11,5,0.23769523345840313,0.23284603307474894,0.28067870669361605,station_max_temp_c,0.28067870669361605,0.28067870669361605
sj,station,12,5,0.23723407753041642,0.23075916630275523,0.2696798043738661,station_max_temp_c,0.2696798043738661,0.2696798043738661
sj,station,13,5,0.2488029615691433,0.23527799571611754,0.2971851834449858,station_avg_temp_c,0.2971851834449858,0.2971851834449858
sj,station,14,5,0.2674383092597516,0.2834450389819759,0.3437854226467502,station_avg_temp_c,0.3437854226467502,0.3437854226467502
